DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-Mar-2025,EQ,"207.00","217.66","207.00","206.38","217.60","217.10","215.19","394.70","198.65",36954756,"7,95,23,99,358.37",254653
04-Mar-2025,EQ,"199.99","208.04","199.02","200.92","206.25","206.38","204.40","394.70","198.65",50579885,"10,33,86,07,164.06",197656
03-Mar-2025,EQ,"210.00","210.25","198.65","207.61","201.30","200.92","202.06","394.70","198.65",51311993,"10,36,82,74,770.73",323704
28-Feb-2025,EQ,"219.26","219.90","207.00","221.70","208.29","207.61","210.89","394.70","207.00",50855490,"10,72,51,45,270.16",389011
27-Feb-2025,EQ,"226.36","228.00","221.05","226.32","221.77","221.70","222.99","394.70","217.01",16215296,"3,61,58,27,688.77",147578
25-Feb-2025,EQ,"229.59","231.67","225.25","228.45","225.65","226.32","228.40","394.70","217.01",11683220,"2,66,84,06,211.78",95934
24-Feb-2025,EQ,"231.00","233.50","228.01","233.67","228.55","228.45","229.94","394.70","217.01",14715002,"3,38,35,90,657.83",124624
21-Feb-2025,EQ,"236.00","238.55","232.64","235.27","233.20","233.67","234.99","394.70","217.01",15152682,"3,56,07,33,983.03",108592
20-Feb-2025,EQ,"228.00","235.90","225.90","228.92","235.40","235.27","232.98","394.70","217.01",15681050,"3,65,33,22,035.69",115043
19-Feb-2025,EQ,"221.02","229.70","219.26","221.02","228.59","228.92","226.33","394.70","217.01",14085762,"3,18,80,41,482.54",113708
18-Feb-2025,EQ,"223.56","223.98","217.01","222.45","220.40","221.02","219.80","394.70","217.01",19138944,"4,20,66,92,595.97",152134
17-Feb-2025,EQ,"222.25","224.00","217.14","222.29","223.84","222.45","221.59","394.70","217.14",21988192,"4,87,23,19,379.26",157286
14-Feb-2025,EQ,"230.00","230.84","219.15","228.06","222.25","222.29","223.26","394.70","219.15",22176523,"4,95,11,91,498.41",198484
13-Feb-2025,EQ,"228.18","233.05","227.00","227.62","227.90","228.06","230.11","394.70","223.23",15841475,"3,64,52,14,879.32",116886
12-Feb-2025,EQ,"233.00","233.98","223.23","235.94","228.15","227.62","227.87","394.70","223.23",45167995,"10,29,23,95,691.06",297582
11-Feb-2025,EQ,"242.00","243.18","234.75","242.96","236.50","235.94","237.58","394.70","231.05",15330326,"3,64,21,63,534.29",135495
10-Feb-2025,EQ,"249.28","250.00","242.06","249.45","243.20","242.96","244.58","394.70","231.05",11175493,"2,73,33,12,340.41",118450
07-Feb-2025,EQ,"248.40","252.75","246.13","250.48","249.50","249.45","249.60","394.70","231.05",11922059,"2,97,57,38,423.80",120716
06-Feb-2025,EQ,"252.60","253.79","248.65","249.82","251.10","250.48","251.20","394.70","231.05",16298230,"4,09,40,53,842.91",124231
05-Feb-2025,EQ,"246.65","254.34","246.60","245.10","249.40","249.82","251.97","394.70","231.05",28695524,"7,23,03,61,979.36",211190
